customer,orders,total_items,discount,weekday,hour,Food,Fresh,Drinks,Home,Beauty,Health,Baby,Pets,num_orders
0,0,44.66666666666666,14.11,4,13,14.07,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0
7,90,40.0,0.93,1,20,23.7,52.54,13.93,0.0,9.83,0.0,0.0,0.0,1.0
13,127,32.0,0.0,1,9,0.0,76.95,0.0,0.0,8.28,0.0,14.77,0.0,1.0
16,136,16.0,14.0,5,13,0.0,51.12,28.3,20.58,0.0,0.0,0.0,0.0,1.0
17,137,53.0,18.1,1,15,11.65,37.46,12.65,0.0,0.0,0.0,38.24,0.0,1.0
18,138,20.6,17.449999999999996,6,12,19.776,45.038,21.022,10.374,3.792,0.0,0.0,0.0,5.0
19,143,28.0,16.96,1,23,11.696666666666664,40.056666666666665,35.300000000000004,11.926666666666668,0.0,0.0,1.02,0.0,3.0
23,156,28.0,0.0,4,23,6.98,84.96,8.06,0.0,0.0,0.0,0.0,0.0,1.0
40,199,69.0,3.16,4,23,40.14,48.3,7.2,1.58,0.0,0.0,2.78,0.0,1.0
42,211,37.2,6.662000000000001,1,2,17.772,24.938,17.086000000000002,5.176,5.952,0.0,29.076,0.0,5.0
51,254,69.25,3.1825,3,9,18.8,50.27,15.965,5.815,1.11,0.0,0.0,8.0375,4.0
54,273,60.0,5.13,3,20,31.85,30.42,12.51,11.6,13.61,0.0,0.0,0.0,1.0
56,289,43.0,8.726666666666667,7,18,18.73333333333333,39.53333333333333,9.096666666666666,18.12666666666667,10.366666666666667,4.1433333333333335,0.0,0.0,3.0
61,305,33.625,5.7387500000000005,1,10,23.36125,52.69375,19.715,1.5875,2.64125,0.0,0.0,0.0,8.0
71,356,19.33333333333333,16.786666666666665,1,13,23.19666666666667,46.54999999999999,15.623333333333331,0.0,6.6933333333333325,0.0,1.5933333333333335,6.343333333333334,3.0
74,361,33.4,11.384,1,21,23.634,32.986000000000004,33.778000000000006,7.07,1.806,0.724,0.0,0.0,5.0
78,385,29.0,7.9700000000000015,2,13,15.446666666666664,45.61333333333334,8.133333333333333,30.80666666666667,0.0,0.0,0.0,0.0,3.0
81,391,58.4,18.102,5,10,17.448,38.09,32.692,1.94,6.888,2.684,0.26,0.0,5.0
84,403,21.0,4.22,5,0,19.05,54.07,26.88,0.0,0.0,0.0,0.0,0.0,1.0
107,452,44.5,6.847499999999999,1,18,11.9375,25.6575,20.2025,13.6825,1.4475,0.0,27.067500000000003,0.0,4.0
108,456,17.5,1.49,2,16,20.895,38.45,11.965,7.819999999999999,10.010000000000002,10.86,0.0,0.0,2.0
114,495,26.5,11.704999999999998,7,19,31.096666666666668,28.746666666666663,15.926666666666668,9.82,6.118333333333333,0.0,8.295,0.0,6.0
116,502,44.0,3.355,2,20,28.825,53.6225,5.734999999999999,6.865,4.9525,0.0,0.0,0.0,4.0
117,506,28.5,8.925,6,11,17.38,32.475,13.85,18.255000000000003,7.315,0.0,10.725,0.0,2.0
121,522,76.66666666666667,1.2466666666666668,3,23,11.058333333333335,38.34333333333333,38.88333333333333,7.479999999999999,4.239999999999999,0.0,0.0,0.0,6.0
146,595,49.0,17.93375,4,10,13.4425,48.53625,8.44,20.58125,8.26625,0.645,0.08625,0.0,8.0
162,641,38.0,13.02,3,9,1.08,49.99,23.66,24.0,0.0,0.0,0.0,1.26,1.0
174,683,25.857142857142858,4.867142857142857,4,12,24.438571428571432,41.32285714285714,21.195714285714285,6.251428571428572,5.567142857142857,0.0,1.2242857142857144,0.0,7.0
195,756,52.66666666666666,9.723333333333334,2,17,11.4,33.583333333333336,18.17333333333333,27.546666666666667,6.973333333333334,0.0,2.3266666666666667,0.0,3.0
200,769,56.0,1.98,6,12,13.945,40.005,34.015,5.04,3.715,2.315,0.96,0.0,2.0
210,805,25.33333333333333,0.5533333333333333,1,10,8.183333333333332,51.653333333333336,17.023333333333333,8.576666666666666,9.090000000000002,5.473333333333334,0.0,0.0,3.0
211,808,77.0,3.2,5,14,7.05,41.89,20.4,0.0,19.24,11.43,0.0,0.0,1.0
215,830,63.66666666666666,2.49,1,17,12.966666666666669,41.63333333333333,27.246666666666663,12.57,2.7,2.8816666666666664,0.0,0.0,6.0
217,838,38.2,6.994,7,22,34.54,28.846000000000004,12.32,18.362,2.3020000000000005,3.63,0.0,0.0,5.0
